   ,0             ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0  ,14000.0       ,E,S, , , , , , , ,  ,  ,  ,  ,  ,  ,
1  ,14015.06911818,F, , , , , , , , ,  ,  ,  ,  ,  ,  ,
2  ,14018.00000008,F, , , , , , , , ,  ,  ,  ,  ,  ,  ,
3  ,14020.00000006,E,F, , , , , , , ,  ,  ,  ,  ,  ,  ,
4  ,14022.00000011,E,F, , , , , , , ,  ,  ,  ,  ,  ,  ,
5  ,14026.70900006,A,E,F, , , , , , ,  ,  ,  ,  ,  ,  ,
6  ,14030.00000013,A,E,F, , , , , , ,  ,  ,  ,  ,  ,  ,
7  ,14032.70900007,A,E,F, , , , , , ,  ,  ,  ,  ,  ,  ,
8  ,14040.00000001,A,E,F, , , , , , ,  ,  ,  ,  ,  ,  ,
9  ,14050.0       ,A,B,E,F,S, , , , ,  ,  ,  ,  ,  ,  ,
10 ,14051.948     ,A,B,E,F,S, , , , ,  ,  ,  ,  ,  ,  ,
11 ,14055.00000001,A,B,E,F,S, , , , ,  ,  ,  ,  ,  ,  ,
12 ,14057.0       ,A,B,E,F,S, , , , ,  ,  ,  ,  ,  ,  ,
13 ,14060.00000001,A,B,E,F,G,S,T, , ,  ,  ,  ,  ,  ,  ,
14 ,14062.00000001,A,B,E,F,G,S,T, , ,  ,  ,  ,  ,  ,  ,
15 ,14064.11643702,A,B,E,F,G,S,T, , ,  ,  ,  ,  ,  ,  ,
16 ,14065.8522133 ,A,B,E,F,G,S,T,U, ,  ,  ,  ,  ,  ,  ,
17 ,14070.00000001,A,B,E,F,G,S,T,U,V,  ,  ,  ,  ,  ,  ,
18 ,14075.0       ,A,B,E,F,G,R,S,T,U,V ,  ,  ,  ,  ,  ,
19 ,14080.0       ,A,B,C,E,F,G,R,S,T,U ,V ,  ,  ,  ,  ,
20 ,14081.5584    ,A,B,C,E,F,G,R,S,T,U ,V ,  ,  ,  ,  ,
